# -*- fill-column: 79 -*-
#
# This file contains named palettes that can be specified to "bleopt
# colorglass_base16_palette".  The first column is the name of the palette.
# The next 16 values ($2..$17) provides the codes of the basic 16 colors.  $18
# and $19 is the default foreground and background colors, and $20 is the
# cursor color, if available.

# https://github.com/akinomyoga/contra
AardvarkInk                    0x222734 0xc26265 0x52aa60 0xad9b49 0x487fd4 0xaf5bd1 0x269d9a 0x5a6377 0x3a4152 0xe48383 0x75cf84 0xc7b461 0x76a8f2 0xd58bf0 0x52c4c0 0xdfe5ee 0xb4bcca 0x0f141f 0xb4bcca
Abernathy                      0x000000 0xcd0000 0x00cd00 0xcdcd00 0x1093f5 0xcd00cd 0x00cdcd 0xfaebd7 0x404040 0xff0000 0x00ff00 0xffff00 0x11b5f6 0xff00ff 0x00ffff 0xffffff 0xeeeeec 0x111416 0xbbbbbb
AcidLime                       0x131d0c 0xff3344 0x97e63c 0xeeff5c 0x4deca0 0xa6ff6b 0x50ffb4 0xbfe0a4 0x4a6b36 0xff3344 0x97e63c 0xdbff45 0x4deca0 0xa6ff6b 0x50ffb4 0xd4efbc 0xd4efbc 0x080c05 0xc2ff33
Adventure                      0x040404 0xd84a33 0x5da602 0xeebb6e 0x417ab3 0xe5c499 0xbdcfe5 0xdbded8 0x685656 0xd76b42 0x99b52c 0xffb670 0x97d7ef 0xaa7900 0xbdcfe5 0xe4d5c7 0xfeffff 0x040404 0xfeffff
AdventureTime                  0x050404 0xbd0013 0x4ab118 0xe7741e 0x0f4ac6 0x665993 0x70a598 0xf8dcc0 0x4e7cbf 0xfc5f5a 0x9eff6e 0xefc11a 0x1997c6 0x9b5953 0xc8faf4 0xf6f5fb 0xf8dcc0 0x1f1d45 0xefbf38
Adwaita                        0x1d1d20 0xc01c28 0x26a269 0xa2734c 0x12488b 0xa347ba 0x2aa1b3 0xc2c2c2 0x5d5d5d 0xf66151 0x33d17a 0xe9ad0c 0x2a7bde 0xc061cb 0x33c7de 0xffffff 0x1d1d20 0xffffff 0x1d1d20
AdwaitaDark                    0x241f31 0xc01c28 0x2ec27e 0xf5c211 0x1e78e4 0x9841bb 0x0ab9dc 0xc0bfbc 0x5e5c64 0xed333b 0x57e389 0xf8e45c 0x51a1ff 0xc061cb 0x4fd2fd 0xf6f5f4 0xffffff 0x1c1c1f 0xffffff
Afterglow                      0x151515 0xac4142 0x7e8e50 0xe5b567 0x6c99bb 0x9f4e85 0x7dd6cf 0xd0d0d0 0x505050 0xac4142 0x7e8e50 0xe5b567 0x6c99bb 0x9f4e85 0x7dd6cf 0xf5f5f5 0xd0d0d0 0x212121 0xd0d0d0
AizenDark                      0x1a1a1a 0xf08898 0xa4e09c 0xf5dea4 0x84b4f8 0xc8a2f4 0x90dcd0 0xd0d6f0 0x444444 0xf08898 0xa4e09c 0xf5dea4 0x84b4f8 0xc8a2f4 0x90dcd0 0xffffff 0xd0d6f0 0x1a1a1a 0xf8b080
AizenLight                     0xf0f2f6 0xd00c36 0x3e9e28 0xdd8c1a 0x1c64f2 0x8636ec 0x159096 0x4a4d66 0xadb2bc 0xd00c36 0x3e9e28 0xdd8c1a 0x1c64f2 0x8636ec 0x159096 0x4a4d66 0x4a4d66 0xf0f2f6 0xfc6008
Alabaster                      0x000000 0xaa3731 0x448c27 0xcb9000 0x325cc0 0x7a3e9d 0x0083b2 0xb7b7b7 0x777777 0xf05050 0x60cb00 0xf2af50 0x007acc 0xe64ce6 0x00aacb 0xf7f7f7 0x000000 0xf7f7f7 0x007acc
AlienBlood                     0x112616 0x7f2b27 0x2f7e25 0x717f24 0x2f6a7f 0x47587f 0x327f77 0x647d75 0x3c4812 0xe08009 0x18e000 0xbde000 0x00aae0 0x0058e0 0x00e0c4 0x73fa91 0x637d75 0x0f1610 0x73fa91
AmberCRTRetro                  0x2a1e00 0xff6a00 0xffb000 0xffc742 0xff8c00 0xffa033 0xffd27f 0xffd9a0 0x6a4e00 0xff8a1e 0xffc742 0xffe08a 0xffab3d 0xffc266 0xffe3b0 0xfff0d6 0xffb000 0x1a1200 0xffb000
Andromeda                      0x000000 0xcd3131 0x05bc79 0xe5e512 0x2472c8 0xbc3fbc 0x0fa8cd 0xe5e5e5 0x666666 0xcd3131 0x05bc79 0xe5e512 0x2472c8 0xbc3fbc 0x0fa8cd 0xe5e5e5 0xe5e5e5 0x262a33 0xf8f8f0
AppleClassic                   0x000000 0xc91b00 0x00c200 0xc7c400 0x1c3fe1 0xca30c7 0x00c5c7 0xc7c7c7 0x686868 0xff6e67 0x5ffa68 0xfffc67 0x6871ff 0xff77ff 0x60fdff 0xffffff 0xd5a200 0x2c2b2b 0xc7c7c7
AppleSystemColors              0x1a1a1a 0xcc372e 0x26a439 0xcdac08 0x0869cb 0x9647bf 0x479ec2 0x98989d 0x464646 0xff453a 0x32d74b 0xffd60a 0x0a84ff 0xbf5af2 0x76d6ff 0xffffff 0xffffff 0x1e1e1e 0x98989d
AppleSystemColorsLight         0x1a1a1a 0xcc372e 0x26a439 0xcdac08 0x0869cb 0x9647bf 0x479ec2 0x98989d 0x464646 0xff453a 0x32d74b 0xe5bc00 0x0a84ff 0xbf5af2 0x69c9f2 0xffffff 0x000000 0xfeffff 0x98989d
Arcoiris                       0x333333 0xda2700 0x12c258 0xffc656 0x518bfc 0xe37bd9 0x63fad5 0xbab2b2 0x777777 0xffb9b9 0xe3f6aa 0xffddaa 0xb3e8f3 0xcbbaf9 0xbcffc7 0xefefef 0xeee4d9 0x201f1e 0x872929
Ardoise                        0x2c2c2c 0xd3322d 0x588b35 0xfca93a 0x2465c2 0x7332b4 0x64e1b8 0xf7f7f7 0x535353 0xfa5852 0x8dc252 0xffea51 0x6ab5f8 0xbe68ca 0x89ffdb 0xfefefe 0xeaeaea 0x1e1e1e 0xf7f7f7
Argonaut                       0x232323 0xff000f 0x8ce10b 0xffb900 0x008df8 0x6d43a6 0x00d8eb 0xffffff 0x444444 0xff2740 0xabe15b 0xffd242 0x0092ff 0x9a5feb 0x67fff0 0xffffff 0xfffaf4 0x0e1019 0xff0018
